12/19/2023 10:04:54 PM - root - dgard - WARNING - Inicio de ejecucion del BOT para CAMBIO DE ESTADO (Flujo Instalación - pase a entrega final) 
12/19/2023 10:04:54 PM - root - dgard - WARNING - 159 registros en base fuente
12/19/2023 10:04:54 PM - root - dgard - WARNING - Extract Data Process Finished
12/19/2023 10:04:54 PM - root - dgard - WARNING - Opening APPs Process finished has finished
12/19/2023 10:04:54 PM - root - dgard - WARNING - -------------------------------
12/19/2023 10:05:43 PM - root - dgard - WARNING - Se ha procesado el incidente: 20512635
12/19/2023 10:06:25 PM - root - dgard - WARNING - Se ha procesado el incidente: 20512664
12/19/2023 10:07:09 PM - root - dgard - WARNING - Se ha procesado el incidente: 20512684
12/19/2023 10:07:52 PM - root - dgard - WARNING - Se ha procesado el incidente: 20512718
12/19/2023 10:08:35 PM - root - dgard - WARNING - Se ha procesado el incidente: 20512764
12/19/2023 10:09:20 PM - root - dgard - WARNING - Se ha procesado el incidente: 20512830
12/19/2023 10:10:02 PM - root - dgard - WARNING - Se ha procesado el incidente: 20512848
12/19/2023 10:10:45 PM - root - dgard - WARNING - Se ha procesado el incidente: 20512862
12/19/2023 10:11:28 PM - root - dgard - WARNING - Se ha procesado el incidente: 20512896
12/19/2023 10:12:10 PM - root - dgard - WARNING - Se ha procesado el incidente: 20512931
12/19/2023 10:21:16 PM - root - dgard - WARNING - Se ha procesado el incidente: 20512973
12/19/2023 10:21:58 PM - root - dgard - WARNING - Se ha procesado el incidente: 20513013
12/19/2023 10:22:40 PM - root - dgard - WARNING - Se ha procesado el incidente: 20513040
12/19/2023 10:23:24 PM - root - dgard - WARNING - Se ha procesado el incidente: 20513056
