12/28/2023 06:11:49 PM - root - dgard - WARNING - Inicio de ejecucion del BOT para CAMBIO DE FECHAS 
12/28/2023 06:11:49 PM - root - dgard - WARNING - 169 registros en base fuente
12/28/2023 06:11:49 PM - root - dgard - WARNING - Extract Data Process Finished
12/28/2023 06:11:49 PM - root - dgard - WARNING - Opening APPs Process finished has finished
12/28/2023 06:11:49 PM - root - dgard - WARNING - -------------------------------
12/28/2023 06:12:27 PM - root - dgard - WARNING - Se ha procesado el incidente: 20418942
12/28/2023 06:13:02 PM - root - dgard - WARNING - Se ha procesado el incidente: 20421256
12/28/2023 06:13:37 PM - root - dgard - WARNING - Se ha procesado el incidente: 20437257
12/28/2023 06:14:13 PM - root - dgard - WARNING - Se ha procesado el incidente: 20145420
12/28/2023 06:14:49 PM - root - dgard - WARNING - Se ha procesado el incidente: 19503686
12/28/2023 06:15:24 PM - root - dgard - WARNING - Se ha procesado el incidente: 20293831
12/28/2023 06:16:01 PM - root - dgard - WARNING - Se ha procesado el incidente: 20438300
12/28/2023 06:16:59 PM - root - dgard - WARNING - Se ha procesado el incidente: 20438344
12/28/2023 06:17:35 PM - root - dgard - WARNING - Se ha procesado el incidente: 20438363
12/28/2023 06:18:11 PM - root - dgard - WARNING - Se ha procesado el incidente: 20438383
12/28/2023 06:19:53 PM - root - dgard - WARNING - Se ha procesado el incidente: 19834565
12/28/2023 06:20:29 PM - root - dgard - WARNING - Se ha procesado el incidente: 19834594
12/28/2023 06:21:06 PM - root - dgard - WARNING - Se ha procesado el incidente: 19834611
12/28/2023 06:21:41 PM - root - dgard - WARNING - Se ha procesado el incidente: 19834420
12/28/2023 06:22:17 PM - root - dgard - WARNING - Se ha procesado el incidente: 20309654
12/28/2023 06:22:52 PM - root - dgard - WARNING - Se ha procesado el incidente: 20419132
12/28/2023 06:23:28 PM - root - dgard - WARNING - Se ha procesado el incidente: 20396307
12/28/2023 06:24:03 PM - root - dgard - WARNING - Se ha procesado el incidente: 19902608
12/28/2023 06:24:38 PM - root - dgard - WARNING - Se ha procesado el incidente: 20321889
12/28/2023 06:25:13 PM - root - dgard - WARNING - Se ha procesado el incidente: 20372547
12/28/2023 06:26:33 PM - root - dgard - WARNING - Se ha procesado el incidente: 20244167
12/28/2023 06:27:10 PM - root - dgard - WARNING - Se ha procesado el incidente: 20145501
12/28/2023 06:27:46 PM - root - dgard - WARNING - Se ha procesado el incidente: 20367264
12/28/2023 06:28:22 PM - root - dgard - WARNING - Se ha procesado el incidente: 20293645
12/28/2023 06:28:57 PM - root - dgard - WARNING - Se ha procesado el incidente: 19834803
12/28/2023 06:29:31 PM - root - dgard - WARNING - Se ha procesado el incidente: 20423495
12/28/2023 06:30:08 PM - root - dgard - WARNING - Se ha procesado el incidente: 20254058
12/28/2023 06:30:43 PM - root - dgard - WARNING - Se ha procesado el incidente: 20527611
12/28/2023 06:31:19 PM - root - dgard - WARNING - Se ha procesado el incidente: 20527362
12/28/2023 06:31:46 PM - root - dgard - WARNING - Se presenta mensaje de advertencia en el proceso en CRM
12/28/2023 06:33:30 PM - root - dgard - WARNING - Se ha procesado el incidente: 20527370
12/28/2023 06:34:03 PM - root - dgard - WARNING - Se ha procesado el incidente: 18847680
12/28/2023 06:34:35 PM - root - dgard - WARNING - Se ha procesado el incidente: 18849054
12/28/2023 06:35:10 PM - root - dgard - WARNING - Se ha procesado el incidente: 20372304
12/28/2023 06:35:46 PM - root - dgard - WARNING - Se ha procesado el incidente: 20418489
12/28/2023 06:36:22 PM - root - dgard - WARNING - Se ha procesado el incidente: 20418600
12/28/2023 06:36:57 PM - root - dgard - WARNING - Se ha procesado el incidente: 20154054
12/28/2023 06:37:29 PM - root - dgard - WARNING - Se ha procesado el incidente: 19987343
12/28/2023 06:38:05 PM - root - dgard - WARNING - Se ha procesado el incidente: 20418979
12/28/2023 06:38:41 PM - root - dgard - WARNING - Se ha procesado el incidente: 20437917
12/28/2023 06:40:00 PM - root - dgard - WARNING - Se ha procesado el incidente: 20438056
12/28/2023 06:40:37 PM - root - dgard - WARNING - Se ha procesado el incidente: 20438167
12/28/2023 06:41:14 PM - root - dgard - WARNING - Se ha procesado el incidente: 20396199
12/28/2023 06:42:04 PM - root - dgard - WARNING - Se presenta mensaje de advertencia en el proceso en CRM
