01/07/2024 12:53:14 AM - root - dgard - WARNING - Inicio de ejecucion del BOT para CAMBIO DE FECHAS 
01/07/2024 12:53:16 AM - root - dgard - WARNING - 146 registros en base fuente
01/07/2024 12:53:16 AM - root - dgard - WARNING - Extract Data Process Finished
01/07/2024 12:53:16 AM - root - dgard - WARNING - Opening APPs Process finished has finished
01/07/2024 12:53:16 AM - root - dgard - WARNING - -------------------------------
01/07/2024 12:53:52 AM - root - dgard - WARNING - Se ha procesado el incidente: 19832464
01/07/2024 12:54:24 AM - root - dgard - WARNING - Se ha procesado el incidente: 19835139
01/07/2024 12:54:57 AM - root - dgard - WARNING - Se ha procesado el incidente: 19834596
01/07/2024 12:55:29 AM - root - dgard - WARNING - Se ha procesado el incidente: 19832412
01/07/2024 12:56:01 AM - root - dgard - WARNING - Se ha procesado el incidente: 19834283
01/07/2024 12:56:32 AM - root - dgard - WARNING - Se ha procesado el incidente: 19832350
01/07/2024 12:57:04 AM - root - dgard - WARNING - Se ha procesado el incidente: 19834236
01/07/2024 12:57:36 AM - root - dgard - WARNING - Se ha procesado el incidente: 19832552
01/07/2024 12:58:08 AM - root - dgard - WARNING - Se ha procesado el incidente: 19833923
01/07/2024 12:58:40 AM - root - dgard - WARNING - Se ha procesado el incidente: 19834328
01/07/2024 12:59:53 AM - root - dgard - WARNING - Se ha procesado el incidente: 19834563
01/07/2024 01:00:25 AM - root - dgard - WARNING - Se ha procesado el incidente: 19833993
01/07/2024 01:00:57 AM - root - dgard - WARNING - Se ha procesado el incidente: 19835090
01/07/2024 01:01:28 AM - root - dgard - WARNING - Se ha procesado el incidente: 19834671
01/07/2024 01:01:59 AM - root - dgard - WARNING - Se ha procesado el incidente: 19833875
01/07/2024 01:02:32 AM - root - dgard - WARNING - Se ha procesado el incidente: 19832809
01/07/2024 01:03:03 AM - root - dgard - WARNING - Se ha procesado el incidente: 19833690
01/07/2024 01:03:35 AM - root - dgard - WARNING - Se ha procesado el incidente: 19835051
01/07/2024 01:04:06 AM - root - dgard - WARNING - Se ha procesado el incidente: 19832891
01/07/2024 01:04:38 AM - root - dgard - WARNING - Se ha procesado el incidente: 19833535
01/07/2024 01:06:20 AM - root - dgard - WARNING - Se ha procesado el incidente: 19833487
01/07/2024 01:06:54 AM - root - dgard - WARNING - Se ha procesado el incidente: 19835223
01/07/2024 01:07:26 AM - root - dgard - WARNING - Se ha procesado el incidente: 19832593
01/07/2024 01:07:58 AM - root - dgard - WARNING - Se ha procesado el incidente: 19833816
01/07/2024 01:08:30 AM - root - dgard - WARNING - Se ha procesado el incidente: 19832390
01/07/2024 01:09:02 AM - root - dgard - WARNING - Se ha procesado el incidente: 19834132
01/07/2024 01:09:34 AM - root - dgard - WARNING - Se ha procesado el incidente: 19834040
01/07/2024 01:10:08 AM - root - dgard - WARNING - Se ha procesado el incidente: 19832845
01/07/2024 01:10:39 AM - root - dgard - WARNING - Se ha procesado el incidente: 19834684
01/07/2024 01:11:11 AM - root - dgard - WARNING - Se ha procesado el incidente: 19833767
01/07/2024 01:12:24 AM - root - dgard - WARNING - Se ha procesado el incidente: 19832534
01/07/2024 01:12:56 AM - root - dgard - WARNING - Se ha procesado el incidente: 19836019
01/07/2024 01:13:28 AM - root - dgard - WARNING - Se ha procesado el incidente: 19835475
01/07/2024 01:14:00 AM - root - dgard - WARNING - Se ha procesado el incidente: 19835800
01/07/2024 01:14:33 AM - root - dgard - WARNING - Se ha procesado el incidente: 19818269
01/07/2024 01:15:05 AM - root - dgard - WARNING - Se ha procesado el incidente: 19836097
01/07/2024 01:15:37 AM - root - dgard - WARNING - Se ha procesado el incidente: 19835238
01/07/2024 01:16:08 AM - root - dgard - WARNING - Se ha procesado el incidente: 19835941
01/07/2024 01:16:41 AM - root - dgard - WARNING - Se ha procesado el incidente: 19836571
01/07/2024 01:17:13 AM - root - dgard - WARNING - Se ha procesado el incidente: 19836534
01/07/2024 01:18:28 AM - root - dgard - WARNING - Se ha procesado el incidente: 19836293
01/07/2024 01:19:00 AM - root - dgard - WARNING - Se ha procesado el incidente: 19836239
01/07/2024 01:19:33 AM - root - dgard - WARNING - Se ha procesado el incidente: 19836385
01/07/2024 01:20:05 AM - root - dgard - WARNING - Se ha procesado el incidente: 19836342
