01/08/2024 10:59:30 AM - root - dgard - WARNING - Inicio de ejecucion del BOT para CAMBIO DE ESTADO (Flujo Instalación - pase a entrega final) 
01/08/2024 10:59:33 AM - root - dgard - WARNING - 146 registros en base fuente
01/08/2024 10:59:33 AM - root - dgard - WARNING - Extract Data Process Finished
01/08/2024 10:59:33 AM - root - dgard - WARNING - Opening APPs Process finished has finished
01/08/2024 10:59:33 AM - root - dgard - WARNING - -------------------------------
01/08/2024 11:00:14 AM - root - dgard - WARNING - Se ha procesado el incidente: 19832464
01/08/2024 11:00:52 AM - root - dgard - WARNING - Se ha procesado el incidente: 19835139
01/08/2024 11:01:29 AM - root - dgard - WARNING - Se ha procesado el incidente: 19834596
01/08/2024 11:02:07 AM - root - dgard - WARNING - Se ha procesado el incidente: 19832412
01/08/2024 11:02:44 AM - root - dgard - WARNING - Se ha procesado el incidente: 19834283
01/08/2024 11:03:21 AM - root - dgard - WARNING - Se ha procesado el incidente: 19832350
01/08/2024 11:03:59 AM - root - dgard - WARNING - Se ha procesado el incidente: 19834236
01/08/2024 11:04:37 AM - root - dgard - WARNING - Se ha procesado el incidente: 19832552
01/08/2024 11:05:15 AM - root - dgard - WARNING - Se ha procesado el incidente: 19833923
01/08/2024 11:05:53 AM - root - dgard - WARNING - Se ha procesado el incidente: 19834328
01/08/2024 11:07:12 AM - root - dgard - WARNING - Se ha procesado el incidente: 19834563
01/08/2024 11:07:50 AM - root - dgard - WARNING - Se ha procesado el incidente: 19833993
01/08/2024 11:08:28 AM - root - dgard - WARNING - Se ha procesado el incidente: 19835090
01/08/2024 11:09:06 AM - root - dgard - WARNING - Se ha procesado el incidente: 19834671
01/08/2024 11:09:43 AM - root - dgard - WARNING - Se ha procesado el incidente: 19833875
01/08/2024 11:10:21 AM - root - dgard - WARNING - Se ha procesado el incidente: 19832809
01/08/2024 11:10:59 AM - root - dgard - WARNING - Se ha procesado el incidente: 19833690
01/08/2024 11:11:37 AM - root - dgard - WARNING - Se ha procesado el incidente: 19835051
01/08/2024 11:12:15 AM - root - dgard - WARNING - Se ha procesado el incidente: 19832891
01/08/2024 11:12:53 AM - root - dgard - WARNING - Se ha procesado el incidente: 19833535
01/08/2024 11:14:12 AM - root - dgard - WARNING - Se ha procesado el incidente: 19833487
01/08/2024 11:14:49 AM - root - dgard - WARNING - Se ha procesado el incidente: 19835223
01/08/2024 11:15:27 AM - root - dgard - WARNING - Se ha procesado el incidente: 19832593
01/08/2024 11:16:05 AM - root - dgard - WARNING - Se ha procesado el incidente: 19833816
01/08/2024 11:16:42 AM - root - dgard - WARNING - Se ha procesado el incidente: 19832390
01/08/2024 11:17:20 AM - root - dgard - WARNING - Se ha procesado el incidente: 19834132
01/08/2024 11:17:58 AM - root - dgard - WARNING - Se ha procesado el incidente: 19834040
01/08/2024 11:18:36 AM - root - dgard - WARNING - Se ha procesado el incidente: 19832845
01/08/2024 11:19:13 AM - root - dgard - WARNING - Se ha procesado el incidente: 19834684
01/08/2024 11:19:51 AM - root - dgard - WARNING - Se ha procesado el incidente: 19833767
01/08/2024 11:21:09 AM - root - dgard - WARNING - Se ha procesado el incidente: 19832534
01/08/2024 11:21:46 AM - root - dgard - WARNING - Se ha procesado el incidente: 19836019
01/08/2024 11:22:25 AM - root - dgard - WARNING - Se ha procesado el incidente: 19835475
01/08/2024 11:23:03 AM - root - dgard - WARNING - Se ha procesado el incidente: 19835800
01/08/2024 11:23:40 AM - root - dgard - WARNING - Se ha procesado el incidente: 19818269
01/08/2024 11:24:17 AM - root - dgard - WARNING - Se ha procesado el incidente: 19836097
01/08/2024 11:24:55 AM - root - dgard - WARNING - Se ha procesado el incidente: 19835238
01/08/2024 11:25:33 AM - root - dgard - WARNING - Se ha procesado el incidente: 19835941
01/08/2024 11:26:10 AM - root - dgard - WARNING - Se ha procesado el incidente: 19836571
01/08/2024 11:26:48 AM - root - dgard - WARNING - Se ha procesado el incidente: 19836534
01/08/2024 11:28:08 AM - root - dgard - WARNING - Se ha procesado el incidente: 19836293
01/08/2024 11:28:45 AM - root - dgard - WARNING - Se ha procesado el incidente: 19836239
01/08/2024 11:29:23 AM - root - dgard - WARNING - Se ha procesado el incidente: 19836385
01/08/2024 11:30:01 AM - root - dgard - WARNING - Se ha procesado el incidente: 19836342
01/08/2024 11:30:39 AM - root - dgard - WARNING - Se ha procesado el incidente: 19836498
01/08/2024 11:31:17 AM - root - dgard - WARNING - Se ha procesado el incidente: 19819887
01/08/2024 11:31:55 AM - root - dgard - WARNING - Se ha procesado el incidente: 19836455
01/08/2024 11:32:33 AM - root - dgard - WARNING - Se ha procesado el incidente: 19816334
01/08/2024 11:33:11 AM - root - dgard - WARNING - Se ha procesado el incidente: 19819932
01/08/2024 11:33:49 AM - root - dgard - WARNING - Se ha procesado el incidente: 19834650
01/08/2024 11:35:08 AM - root - dgard - WARNING - Se ha procesado el incidente: 19816356
