01/11/2024 06:04:15 PM - root - dgard - WARNING - Inicio de ejecucion del BOT para CAMBIO DE USUARIO 
01/11/2024 06:04:15 PM - root - dgard - WARNING - 1541 registros en base fuente
01/11/2024 06:04:15 PM - root - dgard - WARNING - Extract Data Process Finished
01/11/2024 06:04:15 PM - root - dgard - WARNING - Opening APPs Process finished has finished
01/11/2024 06:04:15 PM - root - dgard - WARNING - -------------------------------
01/11/2024 06:05:00 PM - root - dgard - WARNING - Se ha procesado el incidente: 20575710
01/11/2024 06:05:44 PM - root - dgard - WARNING - Se ha procesado el incidente: 20575473
01/11/2024 06:06:29 PM - root - dgard - WARNING - Se ha procesado el incidente: 20575815
01/11/2024 06:07:13 PM - root - dgard - WARNING - Se ha procesado el incidente: 20575616
01/11/2024 06:07:57 PM - root - dgard - WARNING - Se ha procesado el incidente: 20575971
01/11/2024 06:08:39 PM - root - dgard - WARNING - Se ha procesado el incidente: 20575534
01/11/2024 06:09:23 PM - root - dgard - WARNING - Se ha procesado el incidente: 20575547
01/11/2024 06:10:07 PM - root - dgard - WARNING - Se ha procesado el incidente: 20575468
01/11/2024 06:10:59 PM - root - dgard - WARNING - Se ha procesado el incidente: 20553311
01/11/2024 06:11:45 PM - root - dgard - WARNING - Se ha procesado el incidente: 20575551
01/11/2024 06:13:42 PM - root - dgard - WARNING - Se ha procesado el incidente: 20575600
01/11/2024 06:14:26 PM - root - dgard - WARNING - Se ha procesado el incidente: 20572889
01/11/2024 06:15:16 PM - root - dgard - WARNING - Se ha procesado el incidente: 20563967
01/11/2024 06:16:01 PM - root - dgard - WARNING - Se ha procesado el incidente: 20565428
01/11/2024 06:16:47 PM - root - dgard - WARNING - Se ha procesado el incidente: 20553599
01/11/2024 06:17:34 PM - root - dgard - WARNING - Se ha procesado el incidente: 20553526
01/11/2024 06:18:20 PM - root - dgard - WARNING - Se ha procesado el incidente: 20559999
01/11/2024 06:19:08 PM - root - dgard - WARNING - Se ha procesado el incidente: 20559629
01/11/2024 06:19:53 PM - root - dgard - WARNING - Se ha procesado el incidente: 20553431
01/11/2024 06:20:38 PM - root - dgard - WARNING - Se ha procesado el incidente: 20553561
01/11/2024 06:22:25 PM - root - dgard - WARNING - Se ha procesado el incidente: 20553636
01/11/2024 06:23:00 PM - root - dgard - WARNING - Se ha procesado el incidente: 20535395
01/11/2024 06:23:34 PM - root - dgard - WARNING - Se ha procesado el incidente: 20535320
01/11/2024 06:24:08 PM - root - dgard - WARNING - Se ha procesado el incidente: 20529405
01/11/2024 06:24:41 PM - root - dgard - WARNING - Se ha procesado el incidente: 20529863
01/11/2024 06:25:15 PM - root - dgard - WARNING - Se ha procesado el incidente: 20471614
01/11/2024 06:25:48 PM - root - dgard - WARNING - Se ha procesado el incidente: 19991614
01/11/2024 06:26:22 PM - root - dgard - WARNING - Se ha procesado el incidente: 19991625
01/11/2024 06:26:54 PM - root - dgard - WARNING - Se ha procesado el incidente: 19991630
01/11/2024 06:27:28 PM - root - dgard - WARNING - Se ha procesado el incidente: 19991636
01/11/2024 06:28:49 PM - root - dgard - WARNING - Se ha procesado el incidente: 19991658
01/11/2024 06:29:26 PM - root - dgard - WARNING - Se ha procesado el incidente: 19991663
01/11/2024 06:29:59 PM - root - dgard - WARNING - Se ha procesado el incidente: 19991675
01/11/2024 06:30:32 PM - root - dgard - WARNING - Se ha procesado el incidente: 19991680
01/11/2024 06:31:05 PM - root - dgard - WARNING - Se ha procesado el incidente: 19991685
01/11/2024 06:31:53 PM - root - dgard - WARNING - Se ha procesado el incidente: 19991698
01/11/2024 06:32:27 PM - root - dgard - WARNING - Se ha procesado el incidente: 19991705
01/11/2024 06:33:00 PM - root - dgard - WARNING - Se ha procesado el incidente: 19991711
01/11/2024 06:33:32 PM - root - dgard - WARNING - Se ha procesado el incidente: 19991818
01/11/2024 06:34:05 PM - root - dgard - WARNING - Se ha procesado el incidente: 19991825
01/11/2024 06:35:21 PM - root - dgard - WARNING - Se ha procesado el incidente: 19991830
01/11/2024 06:35:54 PM - root - dgard - WARNING - Se ha procesado el incidente: 19991836
01/11/2024 06:36:26 PM - root - dgard - WARNING - Se ha procesado el incidente: 19991841
01/11/2024 06:36:59 PM - root - dgard - WARNING - Se ha procesado el incidente: 20265080
01/11/2024 06:37:32 PM - root - dgard - WARNING - Se ha procesado el incidente: 20265086
01/11/2024 06:38:08 PM - root - dgard - WARNING - Se ha procesado el incidente: 20265091
01/11/2024 06:38:41 PM - root - dgard - WARNING - Se ha procesado el incidente: 20265097
01/11/2024 06:39:13 PM - root - dgard - WARNING - Se ha procesado el incidente: 20265102
01/11/2024 06:39:46 PM - root - dgard - WARNING - Se ha procesado el incidente: 20265108
01/11/2024 06:40:18 PM - root - dgard - WARNING - Se ha procesado el incidente: 20265113
01/11/2024 06:41:34 PM - root - dgard - WARNING - Se ha procesado el incidente: 20265125
01/11/2024 06:42:07 PM - root - dgard - WARNING - Se ha procesado el incidente: 20265208
01/11/2024 06:42:39 PM - root - dgard - WARNING - Se ha procesado el incidente: 20265405
01/11/2024 06:43:12 PM - root - dgard - WARNING - Se ha procesado el incidente: 20352946
01/11/2024 06:43:45 PM - root - dgard - WARNING - Se ha procesado el incidente: 20434352
01/11/2024 06:44:17 PM - root - dgard - WARNING - Se ha procesado el incidente: 20434864
01/11/2024 06:44:49 PM - root - dgard - WARNING - Se ha procesado el incidente: 20454198
01/11/2024 06:45:21 PM - root - dgard - WARNING - Se ha procesado el incidente: 20454241
01/11/2024 06:45:54 PM - root - dgard - WARNING - Se ha procesado el incidente: 20454270
01/11/2024 06:46:26 PM - root - dgard - WARNING - Se ha procesado el incidente: 20454325
01/11/2024 06:47:21 PM - root - dgard - WARNING - Se presenta mensaje de advertencia en el proceso en CRM
01/11/2024 06:47:53 PM - root - dgard - WARNING - Se ha procesado el incidente: 20611828
01/11/2024 06:48:26 PM - root - dgard - WARNING - Se ha procesado el incidente: 20606917
01/11/2024 06:48:59 PM - root - dgard - WARNING - Se ha procesado el incidente: 20606072
01/11/2024 06:49:32 PM - root - dgard - WARNING - Se ha procesado el incidente: 20606866
01/11/2024 06:50:05 PM - root - dgard - WARNING - Se ha procesado el incidente: 20606883
01/11/2024 06:50:37 PM - root - dgard - WARNING - Se ha procesado el incidente: 20606900
01/11/2024 06:51:09 PM - root - dgard - WARNING - Se ha procesado el incidente: 20606896
01/11/2024 06:51:41 PM - root - dgard - WARNING - Se ha procesado el incidente: 20606932
01/11/2024 06:52:13 PM - root - dgard - WARNING - Se ha procesado el incidente: 20605991
01/11/2024 06:53:31 PM - root - dgard - WARNING - Se ha procesado el incidente: 20606912
01/11/2024 06:54:03 PM - root - dgard - WARNING - Se ha procesado el incidente: 20606924
01/11/2024 06:54:36 PM - root - dgard - WARNING - Se ha procesado el incidente: 20593793
01/11/2024 06:54:47 PM - root - dgard - WARNING - Se presenta mensaje de advertencia en el proceso en CRM
01/11/2024 06:54:55 PM - root - dgard - WARNING - Error Occurred: 'NoneType' object is not subscriptable
01/11/2024 06:54:55 PM - root - dgard - WARNING - Error Occurred v2 (e_type): <class 'TypeError'>
01/11/2024 06:54:55 PM - root - dgard - WARNING - Error Occurred v2 (e_object): 'NoneType' object is not subscriptable
01/11/2024 06:54:55 PM - root - dgard - WARNING - Error Occurred v2 (e_traceback): <traceback object at 0x0000022FE8C9DE40>
01/11/2024 06:54:55 PM - root - dgard - WARNING - Error Occurred v2 (e_line_number): 145
