10/27/2023 09:45:49 AM - root - dgard - WARNING - 198 registros en base fuente
10/27/2023 09:45:49 AM - root - dgard - WARNING - Extract Data Process finished
10/27/2023 09:46:27 AM - root - dgard - WARNING - Opening APPs Process finished has finished
10/27/2023 09:46:27 AM - root - dgard - WARNING - -------------------------------
10/27/2023 09:47:11 AM - root - dgard - WARNING - Se ha procesado el incidente: 19631623
10/27/2023 09:47:58 AM - root - dgard - WARNING - Se ha procesado el incidente: 19316336
10/27/2023 09:48:43 AM - root - dgard - WARNING - Se ha procesado el incidente: 19316386
10/27/2023 09:48:54 AM - root - dgard - WARNING - No Se ha procesado el incidente: 19316227
10/27/2023 09:49:39 AM - root - dgard - WARNING - Se ha procesado el incidente: 19316285
10/27/2023 09:50:27 AM - root - dgard - WARNING - Se ha procesado el incidente: 19316242
10/27/2023 09:51:15 AM - root - dgard - WARNING - Se ha procesado el incidente: 19316265
10/27/2023 09:52:01 AM - root - dgard - WARNING - Se ha procesado el incidente: 19316259
10/27/2023 09:52:47 AM - root - dgard - WARNING - Se ha procesado el incidente: 19316250
10/27/2023 09:53:33 AM - root - dgard - WARNING - Se ha procesado el incidente: 19316380
10/27/2023 09:54:18 AM - root - dgard - WARNING - Se ha procesado el incidente: 19316407
10/27/2023 09:55:04 AM - root - dgard - WARNING - Se ha procesado el incidente: 19316401
10/27/2023 09:55:48 AM - root - dgard - WARNING - Se ha procesado el incidente: 19634428
10/27/2023 09:56:33 AM - root - dgard - WARNING - Se ha procesado el incidente: 19634492
10/27/2023 09:57:18 AM - root - dgard - WARNING - Se ha procesado el incidente: 19634477
10/27/2023 09:58:02 AM - root - dgard - WARNING - Se ha procesado el incidente: 19634511
10/27/2023 09:58:46 AM - root - dgard - WARNING - Se ha procesado el incidente: 19634471
10/27/2023 09:59:30 AM - root - dgard - WARNING - Se ha procesado el incidente: 19634486
10/27/2023 10:00:14 AM - root - dgard - WARNING - Se ha procesado el incidente: 19634463
10/27/2023 10:00:59 AM - root - dgard - WARNING - Se ha procesado el incidente: 19634450
10/27/2023 10:01:43 AM - root - dgard - WARNING - Se ha procesado el incidente: 19634388
10/27/2023 10:02:27 AM - root - dgard - WARNING - Se ha procesado el incidente: 19634409
10/27/2023 10:03:12 AM - root - dgard - WARNING - Se ha procesado el incidente: 19634417
10/27/2023 10:03:57 AM - root - dgard - WARNING - Se ha procesado el incidente: 19631555
10/27/2023 10:04:41 AM - root - dgard - WARNING - Se ha procesado el incidente: 19631550
10/27/2023 10:05:25 AM - root - dgard - WARNING - Se ha procesado el incidente: 19634457
10/27/2023 10:06:09 AM - root - dgard - WARNING - Se ha procesado el incidente: 19634433
10/27/2023 10:06:54 AM - root - dgard - WARNING - Se ha procesado el incidente: 19631567
10/27/2023 10:07:38 AM - root - dgard - WARNING - Se ha procesado el incidente: 19634498
10/27/2023 10:08:21 AM - root - dgard - WARNING - Se ha procesado el incidente: 19650685
10/27/2023 10:09:05 AM - root - dgard - WARNING - Se ha procesado el incidente: 19650739
10/27/2023 10:09:57 AM - root - dgard - WARNING - Se ha procesado el incidente: 19205384
10/27/2023 10:10:49 AM - root - dgard - WARNING - Se ha procesado el incidente: 19770234
10/27/2023 10:11:40 AM - root - dgard - WARNING - Se ha procesado el incidente: 19770218
10/27/2023 10:12:32 AM - root - dgard - WARNING - Se ha procesado el incidente: 19770194
10/27/2023 10:13:24 AM - root - dgard - WARNING - Se ha procesado el incidente: 19770200
